transaction_id,account_id,merchant_id,transaction_type,amount,currency,channel,country,status,fraud_flag,transaction_timestamp,updated_at
TXN0000000001,ACC00000783,MER000073,FEE,26.09,USD,ONLINE,CH,POSTED,0,2024-10-27 20:00:39.938128+00:00,2024-10-27 20:00:39.938128+00:00
TXN0000000002,ACC00000558,MER000032,FEE,177.47,GBP,MOBILE,SG,POSTED,0,2024-04-29 03:11:01.972466+00:00,2024-04-29 03:11:01.972466+00:00
TXN0000000003,ACC00000002,MER000120,DEPOSIT,866.08,GBP,MOBILE,SG,PENDING,0,2024-06-02 17:10:44.145521+00:00,2024-06-02 17:10:44.145521+00:00
TXN0000000004,ACC00000197,MER000152,DEPOSIT,294.05,EUR,MOBILE,AU,POSTED,0,2025-09-09 20:23:36.682895+00:00,2025-09-09 20:23:36.682895+00:00
TXN0000000005,ACC00001813,MER000180,WITHDRAWAL,350.9,CHF,MOBILE,US,POSTED,0,2024-09-21 14:30:57.811225+00:00,2024-09-21 14:30:57.811225+00:00
TXN0000000006,ACC00001847,MER000185,DEPOSIT,106.18,USD,MOBILE,DE,POSTED,0,2025-08-17 17:57:09.423611+00:00,2025-08-17 17:57:09.423611+00:00
TXN0000000007,ACC00000331,MER000059,PURCHASE,110.01,GBP,SFTP,GB,PENDING,0,2027-02-04 00:00:00+00:00,2024-12-11 22:43:32.225221+00:00
TXN0000000008,ACC00000561,MER000044,PURCHASE,-33.41,GBP,SFTP,DE,POSTED,0,2024-02-21 16:01:35.881929+00:00,2024-02-21 16:01:35.881929+00:00
TXN0000000009,ACC00000367,MER000043,FEE,428.55,JPY,MOBILE,JP,POSTED,0,2024-09-20 21:57:22.839770+00:00,2024-09-20 21:57:22.839770+00:00
TXN0000000010,ACC00000984,MER000205,TRANSFER,20.76,CHF,SFTP,CA,POSTED,0,2024-04-25 12:57:03.329226+00:00,2024-04-25 12:57:03.329226+00:00
TXN0000000011,ACC00001652,MER000208,DEPOSIT,226.03,JPY,ONLINE,JP,POSTED,0,2025-05-21 07:27:31.623313+00:00,2025-05-21 07:27:31.623313+00:00
TXN0000000012,ACC00001520,MER000155,DEPOSIT,191.96,INR,WIRE,CH,POSTED,0,2025-10-27 07:37:25.320871+00:00,2025-10-27 07:37:25.320871+00:00
TXN0000000013,ACC00000773,MER000158,DEPOSIT,202.28,AUD,MOBILE,GB,POSTED,0,2025-07-11 01:05:01.979757+00:00,2025-07-11 01:05:01.979757+00:00
TXN0000000014,ACC00001391,MER000192,FEE,485.73,USD,ATM,DE,POSTED,0,2025-07-22 06:13:36.852523+00:00,2025-07-22 06:13:36.852523+00:00
TXN0000000015,ACC00000513,MER000106,TRANSFER,215.41,CAD,POS,IN,POSTED,0,2025-09-21 03:54:06.833069+00:00,2025-09-21 03:54:06.833069+00:00
TXN0000000016,ACC00001819,MER000224,TRANSFER,101.52,USD,ATM,DE,POSTED,0,2025-07-20 23:09:52.854117+00:00,2025-07-20 23:09:52.854117+00:00
TXN0000000017,ACC00001193,MER000273,TRANSFER,378.39,GBP,POS,DE,POSTED,0,2025-02-19 01:24:12.175795+00:00,2025-02-19 01:24:12.175795+00:00
TXN0000000018,ACC00001835,MER000072,TRANSFER,416.57,JPY,WIRE,AU,DECLINED,0,2025-06-05 10:07:14.128821+00:00,2025-06-05 10:07:14.128821+00:00
TXN0000000019,ACC00000509,MER000139,DEPOSIT,109.82,CAD,WIRE,CH,POSTED,0,2024-10-30 15:31:38.237728+00:00,2024-10-30 15:31:38.237728+00:00
TXN0000000020,ACC00001901,MER000095,REFUND,92.62,USD,ONLINE,DE,POSTED,0,2024-02-21 16:12:19.215889+00:00,2024-02-21 16:12:19.215889+00:00
